EIN,Name in IRS Master File,NTEE Code,NTEE Type (26),NTEE Classification,Affiliation,Founded,Overall,Financial Socre,Transparency Score,Tel,Website,Street,City,State,Zip
11-3317234,Accion East Inc,S40,"Community Improvement, Capacity Building",Business and Industry,Independent ,"April, 1997",92.09,98.01,89,tel: (646) 833-4522,http://www.accioneast.org,80 Maiden Lane,New York,NY,10038
13-2535763,Accion International,Q32,"International, Foreign Affairs and National Security",International Economic Development,Independent ,"August, 1965",94.45,92.75,97,tel: (617) 625-7080,http://www.accion.org,56 Roland Street,Boston,MA,2129
85-0417347,Accion New Mexico,S43,"Community Improvement, Capacity Building","Management Services for Small Business, Entrepreneurs",Independent ,"August, 1995",97.07,98.92,96,tel: (505) 243-8844,http://www.accionnm.org/,2000 Zearing Ave. NW,Albuquerque,NM,87104
33-0620415,Accion San Diego,S31,"Community Improvement, Capacity Building","Urban, Community Economic Development",Independent ,"January, 1996",92.19,99.09,89,tel: (800) 967-4429,http://www.accionsandiego.org/,"404 Euclid Avenue, Ste 271",San Diego,CA,92114
04-3774897,Accordia Global Health Foundation,T20,"Philanthropy, Voluntarism and Grantmaking Foundations",Private Grantmaking Foundations,Independent ,"February, 2004",73.66,70.7,77,tel: (202) 534-1200,http://www.accordiafoundation.org,1875 Connecticut Ave N.W.,Washington,DC,20009
84-1531066,Alliance For Choice In Education,B82,Educational Institutions and Related Activities,"Scholarships, Student Financial Aid Services, Awards",Independent ,"August, 2000",95,93.61,97,tel: (303) 573-1603,http://www.acescholarships.org/Home?Lang=en-US,1201 East Colfax Avenue,Denver,CO,80218
34-0714766,Achievement Center For Children,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"August, 1951",87.95,82.97,100,tel: (216) 292-9700,http://www.achievementcenters.org/,4255 Northfield Road,Highland Hills,OH,44128
65-1023099,Community Child Care Center Of Delray Beach Foundation Inc,T30,"Philanthropy, Voluntarism and Grantmaking Foundations",Public Foundations,Independent ,"February, 2001",81.2,75.81,89,tel: (561) 266-0003,http://www.achievementcentersfl.org/,555 Northwest 4th Street,Delray Beach,FL,33444
65-1203744,Achievement First Inc,B29,[Not Provided by IRS],[Not Provided by IRS],Independent ,"May, 2004",90.33,91.89,89,tel: (203) 773-3223,http://www.achievementfirst.org,403 James Street,New Haven,CT,6513
41-1425264,Achieve Minneapolis,O50,Youth Development,"Youth Development Programs, Other",Independent ,"July, 1982",92.39,89.24,100,tel: (612) 455-1530,http://www.achievempls.org,"111 Third Avenue, South",Minneapolis,MN,55401
13-3318293,Achilles International Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"December, 1987",83.04,93.22,77,tel: (212) 354-0300,http://www.achillesinternational.org,42 West 38th Street,New York,NY,10018
23-7209538,Aclu Foundation Of Maryland Inc,R13,[Not Provided by IRS],[Not Provided by IRS],Independent ,"January, 1972",92.52,93.09,92,tel: (410) 889-8555,http://www.aclu-md.org/,3600 Clipper Mill Road,Baltimore,MD,21211
23-7312949,American Civil Liberties Union Foundation Of Massachusetts,R60,"Civil Rights, Social Action, Advocacy",Civil Liberties Advocacy,Independent ,"September, 1973",83.1,77.15,93,tel: (617) 482-3170,http://aclum.org/,211 Congress Street,Boston,MA,2110
23-7243421,American Civil Liberties Union Fund Of Michigan,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"November, 1972",82.71,84.61,81,tel: (313) 578-6800,http://www.aclumich.org/,2966 Woodward Avenue,Detroit,MI,48201
33-0930465,Acres Of Love Inc,P20,Human Services - Multipurpose and Other,Human Service Organizations - Multipurpose,Independent ,"August, 2001",83.71,93.19,78,tel: (949) 379-8110,https://acresoflove.org/,31920 Del Obispo,San Juan Capistrano,CA,92675
27-1928559,Actbeyond,X20,"Religion-Related, Spiritual Development",Christian,Independent ,"July, 2011",80.83,73.82,93,tel: (888) 847-6950,http://www.beyond.org,P.O. Box 860548,Plano,TX,75086
23-7064937,Acterra Action For A Healthy Planet,C30,"Environmental Quality, Protection and Beautification",Natural Resources Conservation and Protection,Independent ,"January, 1973",79.43,71.07,97,tel: (650) 962-9876,http://www.acterra.org,3921 East Bayshore Road,Palo Alto,CA,94303
13-3327220,Action Against Hunger Usa,Q30,"International, Foreign Affairs and National Security","International Development, Relief Services",Independent ,"December, 1985",93.89,91.9,97,tel: (877) 777-1420,http://www.actionagainsthunger.org,One Whitehall Street,New York,NY,10004
23-7019679,Jeffco Action Center Inc,Z99,Unknown,Unknown,Independent ,"April, 1969",93.61,94.3,93,tel: (303) 237-7704,http://www.theactioncenterco.org/,8755 West Fourteenth Avenue,Lakewood,CO,80215
47-0902020,Action For Healthy Kids Inc,B19,Educational Institutions and Related Activities,Nonmonetary Support N.E.C.,Independent ,"July, 2003",87.07,83.57,92,tel: (800) 416-5136,http://www.actionforhealthykids.org/,600 W. Van Buren Blvd.,Chicago,IL,60607
54-0897679,Action In Community Through Service Of Prince William,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"September, 1972",88.83,85.85,93,tel: (703) 441-8606,http://www.actspwc.org,3900 ACTS Lane,Dumfries,VA,22026
58-2070427,Action Ministries Inc,S20,"Community Improvement, Capacity Building","Community, Neighborhood Development, Improvement (General)",Independent ,"March, 1994",92.66,90.43,96,tel: (404) 881-1991,http://www.actionministries.net,17 Executive Park Drive,Atlanta,GA,30329
13-2603590,Action On Smoking & Health,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"March, 1968",84.1,80.4,89,tel: (202) 659-4310,http://www.ash.org,701 4th Street NW,Washington,DC,20001
52-2277575,Actionaid Usa,V35,"Social Science Research Institutes, Services",International Studies,Independent ,"November, 2001",88.17,85.31,92,tel: (201) 835-1240,http://www.actionaidusa.org/,"1420 K Street, NW",Washington,DC,20005
33-0857142,Activated Ministries,X20,"Religion-Related, Spiritual Development",Christian,Independent ,"August, 1999",65.1,56.34,77,tel: (877) 862-3228,http://www.activatedministries.org,1914 West Mission Road,Escondido,CA,92029
38-2926822,Acton Institute For The Study Of Religion And Liberty,R60,"Civil Rights, Social Action, Advocacy",Civil Liberties Advocacy,Independent ,"September, 1990",95.07,93.04,100,tel: (800) 345-2286,http://www.acton.org/,98 E. Fulton Street,Grand Rapids,MI,49503
95-2783139,Actors & Others For Animals,D20,Animal-Related,Animal Protection and Welfare,Independent ,"May, 1972",83.17,93.91,77,tel: (818) 755-6045,http://www.actorsandothers.com/,11523 Burbank Boulevard,North Hollywood,CA,91601
13-1635251,The Actors Fund Of America,Y40,"Mutual/Membership Benefit Organizations, Other",Fraternal Beneficiary Societies,Independent ,"August, 1940",87.22,82.18,97,tel: (800) 221-7303,http://www.actorsfund.org/,729 Seventh Avenue,New York,NY,10019
65-0060167,Actors Playhouse Productions Inc,A65,"Arts, Culture and Humanities",Theater,Independent ,"December, 1988",59.44,71.9,50,tel: (305) 444-9293,http://www.actorsplayhouse.org/,280 Miracle Mile,Coral Gables,FL,33134
61-0645030,Actors Theatre Of Louisville Inc,A65,"Arts, Culture and Humanities",Theater,Independent ,"November, 1964",85.78,83.17,89,tel: (502) 584-1265,http://www.actorstheatre.org/,316 West Main Street,Louisville,KY,40202
20-0815685,Actors Shakespeare Project Inc,A65,"Arts, Culture and Humanities",Theater,Independent ,"June, 2004",83.95,87.59,81,tel: (617) 776-2200,http://actorsshakespeareproject.org/,191 Highland Avenue,Somerville,MA,2143
13-4166228,Acumen Fund Inc,Q12,"International, Foreign Affairs and National Security",Fund Raising and/or Fund Distribution,Independent ,"July, 2001",92.92,90,100,tel: (212) 566-8821,http://www.acumen.org/,40 Worth Street,New York,NY,10013
84-1063447,Adaptive Sports Center Of Crested Butte Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"April, 1999",86.34,96.51,81,tel: (970) 349-5075,http://www.adaptivesports.org/,P.O. Box 1639,Crested Butte,CO,81224
14-1823155,Adaptive Sports Foundation Inc,N20,"Recreation, Sports, Leisure, Athletics",Recreational and Sporting Camps,Independent ,"June, 2000",92.34,92.71,92,tel: (518) 734-5070,http://www.adaptivesportsfoundation.org,100 Silverman Way,Windham,NY,12496
14-1594386,Adirondack Council Inc,C34,"Environmental Quality, Protection and Beautification",Land Resources Conservation,Independent ,"April, 1978",93.08,94.38,92,tel: (877) 873-2240,http://www.adirondackcouncil.org,103 Hand Avenue,Elizabethtown,NY,12932
13-5635801,Adirondack Historical Association,A80,"Arts, Culture and Humanities","Historical Societies, Related Historical Activities",Independent ,"October, 1992",81.57,81.16,82,tel: (518) 352-7311,http://www.adkmuseum.org,P.O. Box 99,Blue Mountain Lake,NY,12812
15-0586270,Adirondack Mountain Club Inc,C60,"Environmental Quality, Protection and Beautification",Environmental Education and Outdoor Survival Programs,Independent ,"November, 1958",85.35,79.51,97,tel: (518) 668-4447,http://www.adk.org,814 Goggins Road,Lake George,NY,12845
02-0687863,Adler Aphasia Center,G48,"Diseases, Disorders, Medical Disciplines",Brain Disorders,Independent ,"July, 2003",97.61,96.63,100,tel: (201) 368-8585,http://www.adleraphasiacenter.org/,60 West Hunter Avenue,Maywood,NJ,7607
36-6210902,Adler Planetarium,A50,"Arts, Culture and Humanities","Museum, Museum Activities",Independent ,"September, 1968",81.86,77.33,88,tel: (312) 322-0332,http://www.adlerplanetarium.org,1300 South Lake Shore Drive,Chicago,IL,60605
36-4348917,Administer Justice,I80,"Crime, Legal-Related",Legal Services,Independent ,"February, 2001",94.42,92.11,100,tel: (877) 778-6006,http://www.administerjustice.org/,1750 Grandstand Place,Elgin,IL,60123
74-1492692,Admiral Nimitz Foundation,A11,"Arts, Culture and Humanities",Single Organization Support,Independent ,"December, 1964",91.05,87.35,100,tel: (830) 997-8600,http://www.nimitzfoundation.org/,340 East Main Street,Fredericksburg,TX,78624
51-0192551,Adolescent Counseling Services,F33,"Mental Health, Crisis Intervention","Group Home, Residential Treatment Facility - Mental Health Related",Independent ,"March, 1977",81.44,96.45,74,tel: (650) 424-0852,http://www.acs-teens.org,1717 Embarcadero Road,Palo Alto,CA,94303
87-0490211,Adopt-A-Native-Elder,P99,Human Services - Multipurpose and Other,Human Services - Multipurpose and Other N.E.C.,Independent ,"June, 1993",88.46,83.69,100,tel: (435) 649-0535,http://www.anelder.org,P.O. Box 3401,Park City,UT,84060
95-4761276,Humane America Animal Foundation,D20,Animal-Related,Animal Protection and Welfare,Independent ,"March, 2000",83.04,90.46,78,tel: (800) 728-3273,http://www.adoptapet.com,310 North Indian Hill Boulevard,Clairmont,CA,91711
59-2471253,Adopt-A-Family Of The Palm Beaches Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"December, 1985",90.65,86.79,100,tel: (561) 253-1361,http://www.adoptafamilypbc.org,"1712 Second Avenue, N",Lake Worth,FL,33460
65-0828272,Adopt-A-Classroom Inc,B19,Educational Institutions and Related Activities,Nonmonetary Support N.E.C.,Independent ,"February, 1999",93.51,95.52,92,tel: (877) 384-0764,http://www.adoptaclassroom.org,110 North 5th Street,Minneapolis,MN,55403
74-2918904,Adopt A Platoon,T30,"Philanthropy, Voluntarism and Grantmaking Foundations",Public Foundations,Independent ,"December, 1999",69.62,87.17,59,tel: (956) 748-4145,http://adoptaplatoon.org/site/,P.O. Box 234,Lozano,TX,78568
84-0793576,The Adoption Exchange,P31,Human Services - Multipurpose and Other,Adoption,Independent ,"September, 1979",82.84,77.1,92,tel: (800) 451-5246,http://www.adoptex.org,14232 East Evans Avenue,Aurora,CO,80014
52-1314847,Adventist Development And Relief Agency International,Q30,"International, Foreign Affairs and National Security","International Development, Relief Services",Independent ,"March, 2000",80.91,75.83,88,tel: (800) 424-2372,https://adra.org/,12501 Old Columbia Pike,Silver Spring,MD,20904
95-4835230,Advancement Project,W20,"Public, Society Benefit - Multipurpose and Other",Government and Public Administration,Independent ,"March, 2001",87.66,86.46,89,tel: (213) 989-1300,http://www.advancementproject.org/,"1910 West Sunset Boulevard, Suite 500",Los Angeles,CA,90026
75-2402759,Advancing Native Missions,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"February, 1992",91.13,93.98,89,tel: (540) 456-7111,http://advancingnativemissions.com/,P.O. Box 5303,Charlottesville,VA,22905
38-2635531,Adventist Frontier Missions Inc,Q30,"International, Foreign Affairs and National Security","International Development, Relief Services",Independent ,"May, 1986",91.82,90.8,93,tel: (800) 937-4236,http://www.afmonline.org,107 East Ferry Street,Berrien Springs,MI,49103
43-0798771,Adventure Unlimited,N20,"Recreation, Sports, Leisure, Athletics",Recreational and Sporting Camps,Central ,"May, 1964",88.02,92.14,85,tel: (888) 416-7348,http://www.adventureunlimited.org/,5201 South Quebec Street,Greenwood Village,CO,80111
22-1695034,Advocates For Children Of New Jersey,P30,Human Services - Multipurpose and Other,"Children's, Youth Services",Independent ,"September, 1964",80.83,75.23,89,tel: (973) 643-3876,http://acnj.org/,35 Halsey Street,Newark,NJ,7102
11-2247307,Advocates For Children Of Ny Inc,I80,"Crime, Legal-Related",Legal Services,Independent ,"July, 1972",91.82,89.16,96,tel: (212) 947-9779,http://www.advocatesforchildren.org,151 West 30th Street,New York,NY,10001
36-3292374,The Advocates For Human Rights,Q70,"International, Foreign Affairs and National Security",International Human Rights,Independent ,"June, 1984",87.61,82.48,100,tel: (612) 341-3302,http://www.theadvocatesforhumanrights.org/,330 South Second Avenue,Minneapolis,MN,55401
52-1173590,Advocates For Youth,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"April, 1980",95.25,94.62,96,tel: (202) 419-3420,http://www.advocatesforyouth.org,"2000 M Street, NW",Washington,DC,20036
54-1646669,Advocates International Inc,Q70,"International, Foreign Affairs and National Security",International Human Rights,Independent ,"April, 1994",82.81,76.72,93,tel: (703) 894-1084,http://www.advocatesinternational.org,2920 King Street,Alexandria,VA,22302
38-2882823,Affirmations Lesbian Gay Community Center Inc,R26,"Civil Rights, Social Action, Advocacy","Lesbian, Gay Rights",Independent ,"September, 1989",80.13,79.31,81,tel: (248) 398-7105,http://www.goaffirmations.org,290 West Nine Mile Road,Ferndale,MI,48220
71-0866051,Afikim Foundation,X30,"Religion-Related, Spiritual Development",Jewish,Independent ,"September, 2002",71.26,71.53,71,tel: (212) 791-7450,http://afikimfoundation.org/,111 John Street,New York,NY,10038
23-1941617,African American Museum In,A50,"Arts, Culture and Humanities","Museum, Museum Activities",Independent ,"December, 1975",79.28,72.85,89,tel: (215) 574-0380,http://www.aampmuseum.org/,701 Arch Street,Philadelphia,PA,19106
64-0592533,African Bible Colleges Inc,B58,[Not Provided by IRS],[Not Provided by IRS],Independent ,"March, 1977",77.73,75.68,80,tel: (601) 922-1962,http://africanbiblecolleges.org/,P.O. Box 103,Clinton,MS,39060
95-2275044,African Enterprise,Q30,"International, Foreign Affairs and National Security","International Development, Relief Services",Independent ,"June, 1964",70.25,58.13,96,tel: (800) 672-3742,http://www.africanenterprise.org,PO Box 28190,Spokane,WA,99228
31-1736706,African Leadership Inc,Q30,"International, Foreign Affairs and National Security","International Development, Relief Services",Independent ,"March, 2001",80.46,74.65,89,tel: (615) 595-8238,http://www.africanleadershipinc.org/,500 Wilson Pike Circle,Brentwood,TN,37027
31-1660877,African Leadership And Reconciliation Ministries Of Texas,X21,"Religion-Related, Spiritual Development",Protestant,Independent ,"September, 1999",88.58,87.32,90,tel: (972) 671-8522,http://www.alarm-inc.org,14140 Midway Road,Dallas,TX,75244
52-0781390,African Wildlife Foundation,D30,Animal-Related,"Wildlife Preservation, Protection",Independent ,"July, 1962",91.53,88.72,96,tel: (888) 494-5354,http://www.awf.org,"1400 Sixteenth Street, NW",Washington,DC,20036
23-7116952,Africare,Q30,"International, Foreign Affairs and National Security","International Development, Relief Services",Independent ,"August, 1971",80.29,72.42,96,tel: (202) 462-3614,http://www.africare.org,"440 R Street, NW",Washington,DC,20001
39-1711417,Afs-Usa Inc,Q22,"International, Foreign Affairs and National Security",International Student Exchange and Aid,Independent ,"December, 1995",87.47,82.74,96,tel: (800) 237-4636,http://www.afsusa.org,"120 Wall Street, 4th Floor",New York,NY,10005
95-4441208,After-School All-Stars,Z99,Unknown,Unknown,Independent ,"November, 1993",91.43,93.17,90,tel: (323) 938-3232,http://www.afterschoolallstars.org/,5670 Wilshire Blvd,Los Angeles,CA,90036
52-2275123,Afterschool Alliance,O99,Youth Development,Youth Development N.E.C.,Independent ,"April, 2001",85.69,83.03,89,tel: (866) 543-7863,http://www.afterschoolalliance.org,1616 H Street NW,Washington,DC,20006
52-1231983,Aga Khan Foundation Usa,Q30,"International, Foreign Affairs and National Security","International Development, Relief Services",Independent ,"December, 1981",91.16,87.51,100,tel: (202) 293-2537,http://www.akfusa.org/,"1825 K Street, NW",Washington,DC,20006
94-3100052,Agape International Missions,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"October, 1989",88.64,94.25,85,tel: (916) 784-2800,http://www.agapewebsite.org,1830 Vernon Street,Roseville,CA,95678
68-0226944,Agape Villages Inc,P70,Human Services - Multipurpose and Other,"Residential, Custodial Care",Independent ,"July, 1991",86.31,84.08,89,tel: (866) 922-4273,http://www.agapevillages.org,3160 Crow Canyon Place,San Ramon,CA,94583
20-1112801,Agency For Jewish Learning,B60,Educational Institutions and Related Activities,"Adult, Continuing Education",Independent ,"May, 2005",84.12,80.43,89,tel: (412) 521-1101,http://www.ajlpittsburgh.org/index.shtml,4905 Fifth Avenue,Pittsburgh,PA,15213
